tconst	averageRating	numVotes
tt2658538	5.2	464
tt2674358	5.5	5178
tt2674454	6.5	11753
tt2678212	7.7	11
tt2678510	9.2	18
tt2707810	5.5	175
tt2707842	2.5	13
tt2710166	8.2	13
tt2717718	8.2	9
tt2717870	7.2	10
tt2721624	6.5	204
tt2749334	6.4	28
tt2763304	7.2	83048
tt2766804	4.2	58
tt2771200	7.2	210042
tt2773246	6.6	40
tt2776878	6.5	7556
tt2782692	6.9	1525
tt2783862	3.1	351
tt2784914	6.0	6
tt2786524	7.0	7
tt2788684	7.0	10
tt2794684	5.2	76
tt2802160	6.6	9
tt2807580	8.2	28
tt2814628	6.4	87
tt2822810	7.5	20
tt2827058	3.7	145
tt2850480	6.0	291
tt2852070	7.2	17
tt2852500	4.5	148
tt2872518	6.3	22358
tt2877296	7.8	12
tt2879794	7.0	15
tt2880664	7.8	301
tt2886714	7.7	27
tt2891456	9.0	15
tt2898904	6.5	8
tt2900098	6.0	53
tt2901896	4.8	201
tt2906276	8.1	41
tt2909966	4.6	111
tt2913562	5.9	283
tt2914760	7.0	9
tt2916468	5.5	10
tt2917484	3.5	164
tt2920294	3.1	110
tt2923834	5.2	1551
tt2926924	4.2	130
tt2928840	4.9	165
tt2931376	2.6	198
tt2932536	5.7	32234
tt2935390	4.8	4055
tt2935516	6.6	163
tt2937366	5.7	13064
tt2937820	6.6	5
tt2938464	4.0	621
tt2940482	2.7	464
tt2943024	7.2	88
tt2943946	5.2	16
tt2951040	7.2	12
tt2951616	4.1	71
tt2955304	4.5	93
tt2957760	6.2	4768
tt2959606	8.9	8
tt2962984	5.2	2533
tt2967226	4.3	1547
tt2973286	7.0	18
tt2976766	6.6	22
tt2987718	6.6	139
tt2994262	6.5	19
tt3001826	5.2	8
tt3004000	7.2	12
tt3004644	8.6	5
tt3011960	5.2	7436
tt3013216	7.9	7
tt3014284	6.0	14234
tt3021804	8.0	15
tt3021984	7.3	43
tt3025278	8.4	8
tt3025342	8.7	13
tt3025636	8.2	10
tt3025774	4.5	15
tt3036538	7.1	7
tt3037136	4.8	10
tt3037576	7.4	10
tt3039472	7.5	430
tt3044664	7.2	79
tt3045622	6.5	8
tt3060698	5.3	10
tt3063364	4.0	114
tt3076230	6.9	11
tt3097756	8.8	16
tt3097876	9.3	87
tt3100052	5.1	215
tt3103360	8.2	34
tt3105652	2.9	15
tt3109830	7.4	151
tt3118920	6.6	501
tt3121200	2.8	267
tt3122216	6.3	9
tt3122608	5.8	114
tt3127018	5.8	25
tt3127022	6.5	2234
tt3127902	7.7	688
tt3130560	7.2	283
tt3130594	5.1	131
tt3132614	7.0	436
tt3134572	7.3	7
tt3135074	8.9	197
tt3146520	6.9	9
tt3147284	4.3	129
tt3148978	4.8	193
tt3151710	4.6	174
tt3155328	6.2	5753
tt3158830	3.5	37
tt3164064	6.2	9
tt3165210	7.3	83
tt3165264	3.8	84
tt3167458	5.8	22
tt3168640	5.6	100
tt3171832	6.0	14217
tt3175260	6.2	6
tt3180122	9.0	76
tt3180402	2.9	132
tt3182620	6.1	2676
tt3183402	5.8	855
tt3188492	6.5	1816
tt3194388	5.5	663
tt3195826	3.3	35
tt3198000	5.5	1948
tt3198282	8.0	17
tt3203620	4.5	5455
tt3204632	5.5	302
tt3209826	3.8	229
tt3212026	4.7	152
tt3223534	5.0	35
tt3224036	7.1	96
tt3224288	6.8	372
tt3225250	7.8	10
tt3226454	4.2	195
tt3229488	6.8	3333
tt3234084	4.5	643
tt3240622	8.0	82
tt3244786	6.3	341
tt3249124	4.4	63
tt3254710	6.6	7
tt3255590	5.6	4717
tt3257092	7.4	56
tt3259248	6.2	12
tt3259276	6.0	248
tt3262342	7.9	29136
tt3263306	4.7	119
tt3266284	5.3	5309
tt3268340	6.3	1199
tt3268850	7.9	1863
tt3272572	4.3	6
tt3277570	9.7	6
tt3278224	7.6	694
tt3278500	9.0	66
tt3280262	5.1	14203
tt3281920	5.2	293
tt3284450	6.2	326
tt3286488	8.8	34
tt3288544	6.6	57
tt3289804	4.9	97
tt3291632	2.6	163
tt3291784	7.4	17
tt3295354	6.1	291
tt3295482	3.8	621
tt3296156	6.1	287
tt3296558	6.0	41
