tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt1633217	movie	La Melodie	La mélodie	0	2017	\N	102	Drama
tt1640605	movie	Scary Story Slumber Party	Scary Story Slumber Party	0	2017	\N	76	Horror,Thriller
tt1643249	movie	Dark Ascension	Dark Ascension	0	2017	\N	112	Action,Adventure,Fantasy
tt1645033	movie	Secret in Provence	Secret in Provence	0	2017	\N	90	Horror,Thriller
tt1648190	movie	The Dark Tower	The Dark Tower	0	2017	\N	95	Action,Adventure,Fantasy
tt1653665	movie	Goodbye Christopher Robin	Goodbye Christopher Robin	0	2017	\N	107	Biography,Drama
tt1659217	movie	Street Fighting Men	Street Fighting Men	0	2017	\N	103	Crime,Documentary,Drama
tt1665729	movie	Funny: The Documentary	Funny: The Documentary	0	2017	\N	76	Comedy,Documentary
tt1665769	movie	The Einstein Tower	The Einstein Tower	0	2017	\N	92	Action,Adventure,Drama
tt1665799	movie	Videotape	Videotape	0	2017	\N	96	Drama,Mystery,Thriller
tt1666185	movie	All Eyez on Me	All Eyez on Me	0	2017	\N	139	Biography,Drama,Music
tt1667321	movie	On Chesil Beach	On Chesil Beach	0	2017	\N	110	Drama,Romance
tt1674768	movie	An American in Texas	An American in Texas	0	2017	\N	97	Crime,Drama,Music
tt1680140	movie	The Stolen	The Stolen	0	2017	\N	98	Action,Adventure,Drama
tt1691339	movie	Serdtse vraga	Serdtse vraga	0	2017	\N	110	War
tt1691916	movie	Before I Fall	Before I Fall	0	2017	\N	98	Drama,Fantasy,Mystery
tt1691924	movie	Blood Redd	Blood Redd	0	2017	\N	90	Horror
tt1693111	movie	Technically Crazy	Technically Crazy	0	2017	\N	\N	Comedy,Drama
tt1698655	movie	Souleater	Souleater	0	2017	\N	86	Horror
tt1699518	movie	The Young Karl Marx	Le jeune Karl Marx	0	2017	\N	118	Biography,Drama,History
tt1720621	movie	Trafficked	Trafficked	0	2017	\N	104	Drama,Thriller
tt1724970	movie	Beyond Skyline	Beyond Skyline	0	2017	\N	106	Action,Adventure,Horror
tt1725153	movie	Guns Guitars and a Badge..	Guns Guitars and a Badge..	0	2017	\N	\N	Drama
tt1726870	movie	The Bag	The Bag	0	2017	\N	\N	Action
tt1727497	movie	Control	Het Tweede Gelaat	0	2017	\N	127	Action,Crime,Drama
tt1730768	movie	The Zookeeper's Wife	The Zookeeper's Wife	0	2017	\N	127	Biography,Drama,History
tt1734493	movie	Unlocked	Unlocked	0	2017	\N	98	Action,Drama,Mystery
tt1740683	movie	The Man	Mesteren	0	2017	\N	94	Drama
tt1742179	movie	Starbright	Starbright	0	2017	\N	\N	Fantasy
tt1753383	movie	A Dog's Purpose	A Dog's Purpose	0	2017	\N	100	Adventure,Comedy,Drama
tt1758810	movie	The Snowman	The Snowman	0	2017	\N	119	Crime,Drama,Mystery
tt1764194	movie	Batons and Baguettes	Batons and Baguettes	0	2017	\N	60	Documentary
tt1764565	movie	Exodus	Exodus Where I Come from Is Disappearing	0	2017	\N	105	Documentary
tt1764679	movie	Alien Hunger	The Pod	0	2017	\N	90	Comedy,Horror,Sci-Fi
tt1774504	movie	Nowhere	Nigde	0	2017	\N	\N	Drama
tt1781058	movie	Wilson	Wilson	0	2017	\N	94	Comedy,Drama
tt1781777	movie	McDick	McDick	0	2017	\N	90	Comedy
